emotion,emotion_label,heart_rate,hrv,skin_conductance,movement,respiratory_rate,temperature,acceleration_x,acceleration_y,acceleration_z,ambient_light,blood_oxygen,timestamp,case_type
focused,1,116.10153334923186,78.23609631462563,0.433,0.063,13.818,36.58,0.028,-0.018,9.835,0.74,96.5,2025-07-16T19:04:12.049529,edge_case
fatigued,5,67.819,26.602,0.3,0.127,10.604,36.56,-0.135,0.295,9.803,0.474,97.1,2025-07-16T19:04:12.049688,edge_case
fatigued,5,64.467,22.275,0.208,0.153,11.783,36.59,0.158,-0.014,9.812,0.292,97.8,2025-07-16T19:04:12.049839,edge_case
anxious,4,73.90348562228337,18.201040319664536,0.658703674425787,0.351,20.175,36.87,0.166,0.375,9.84,0.962,95.4,2025-07-16T19:04:12.049989,edge_case
anxious,4,45.0,90.0,0.699,0.396,19.532,36.79,-0.411,0.265,10.127,0.883,95.8,2025-07-16T19:04:12.050146,edge_case
excited,2,127.49053857084277,65.13004959340505,0.623,0.301,14.469,37.12,-0.728,0.316,9.771,0.472,95.3,2025-07-16T19:04:12.050326,edge_case
anxious,4,92.642,17.886,0.723,0.388,29.515,37.04,0.562,0.451,10.224,0.901,95.0,2025-07-16T19:04:12.050483,edge_case
fatigued,5,64.713,27.693,0.356,0.221,14.481,36.64,-0.341,0.297,10.026,0.298,97.4,2025-07-16T19:04:12.050633,edge_case
anxious,4,97.39829998911968,15.753094238462449,0.9701927408971724,0.327,18.329,36.88,0.247,-0.108,10.031,0.755,95.0,2025-07-16T19:04:12.050782,edge_case
stressed,3,180.0,8.0,0.556,0.395,25.145,37.04,-0.603,-0.631,10.078,0.947,96.2,2025-07-16T19:04:12.050943,edge_case
focused,1,124.80254642261575,62.765187916822654,0.434,0.044,16.105,36.68,0.037,0.008,9.805,0.6,97.0,2025-07-16T19:04:12.051124,edge_case
excited,2,89.337,44.495,0.553,0.559,17.258,36.94,0.136,0.568,9.381,0.416,95.7,2025-07-16T19:04:12.051283,edge_case
fatigued,5,58.676,20.625,0.296,0.165,12.066,36.45,0.2,-0.158,9.861,0.315,96.8,2025-07-16T19:04:12.051433,edge_case
anxious,4,105.28992317727408,18.50718172198528,0.8781103097014247,0.24,21.65,36.9,-0.041,-0.087,9.903,0.273,96.4,2025-07-16T19:04:12.051584,edge_case
focused,1,180.0,8.0,0.475,0.069,15.672,36.62,0.099,0.106,9.851,0.289,96.3,2025-07-16T19:04:12.051740,edge_case
calm,0,121.92796226636919,75.93595233488449,0.211,0.066,13.072,36.58,-0.003,0.009,9.792,0.793,96.8,2025-07-16T19:04:12.051922,edge_case
fatigued,5,72.707,27.055,0.163,0.121,9.438,36.65,0.126,0.222,9.756,0.431,96.9,2025-07-16T19:04:12.052082,edge_case
excited,2,90.939,28.999,0.632,0.566,19.985,36.8,0.515,0.252,9.535,0.53,96.3,2025-07-16T19:04:12.052234,edge_case
anxious,4,91.30275359059276,22.333771173508243,0.966279575479086,0.27,20.057,36.69,-0.373,0.077,9.787,0.894,95.9,2025-07-16T19:04:12.052383,edge_case
stressed,3,180.0,8.0,0.5,0.316,23.384,37.03,-0.524,-0.451,9.574,0.934,96.4,2025-07-16T19:04:12.052543,edge_case
calm,0,111.7631805358404,67.66491820905328,0.326,0.136,15.136,36.47,0.059,0.024,9.798,0.49,96.8,2025-07-16T19:04:12.052725,edge_case
stressed,3,120.0,16.218,0.524,0.114,18.721,37.01,-0.03,0.051,9.776,0.739,95.6,2025-07-16T19:04:12.052884,edge_case
excited,2,96.188,50.0,0.601,0.399,20.268,36.83,0.217,0.132,9.406,0.508,95.0,2025-07-16T19:04:12.053035,edge_case
excited,2,79.11022332451053,34.221017341637534,0.48495107907359347,0.301,15.422,36.65,-0.721,-0.008,9.626,0.983,96.5,2025-07-16T19:04:12.053185,edge_case
excited,2,45.0,8.0,0.526,0.1,18.176,36.96,-0.14,0.055,9.731,0.336,95.0,2025-07-16T19:04:12.053341,edge_case
stressed,3,118.58568261615464,79.47068088196191,0.691,0.35,25.927,36.91,0.396,-0.013,9.739,0.682,95.1,2025-07-16T19:04:12.053521,edge_case
anxious,4,128.404,18.799,0.813,0.35,27.135,37.31,0.041,0.139,9.757,0.978,94.2,2025-07-16T19:04:12.053689,edge_case
calm,0,66.226,36.822,0.296,0.189,11.796,36.61,-0.007,0.257,10.049,0.907,97.4,2025-07-16T19:04:12.054076,edge_case
stressed,3,116.0032219381706,10.085304709814467,0.8442409404614619,0.293,28.0,37.17,0.439,0.148,9.672,0.778,94.7,2025-07-16T19:04:12.054262,edge_case
stressed,3,180.0,90.0,0.81,0.39,19.396,36.82,-0.186,-0.585,9.661,0.951,96.6,2025-07-16T19:04:12.054423,edge_case
fatigued,5,124.93755074455484,61.81234658662841,0.271,0.18,13.146,36.73,0.057,-0.22,9.812,0.906,96.3,2025-07-16T19:04:12.054606,edge_case
fatigued,5,57.398,23.404,0.208,0.062,9.311,36.43,0.122,-0.003,9.793,0.79,97.9,2025-07-16T19:04:12.054767,edge_case
anxious,4,95.704,21.619,0.819,0.434,26.522,36.97,0.175,0.125,9.984,0.717,95.2,2025-07-16T19:04:12.054919,edge_case
anxious,4,117.61889936266134,20.022534508788635,0.7059462414774342,0.452,18.375,37.16,0.225,0.224,9.862,0.451,94.4,2025-07-16T19:04:12.055070,edge_case
calm,0,45.0,90.0,0.288,0.131,14.757,36.37,-0.037,0.113,9.619,0.495,97.7,2025-07-16T19:04:12.055230,edge_case
calm,0,123.58534057698398,66.79189715648616,0.342,0.103,11.042,36.57,0.026,-0.073,9.856,0.348,97.1,2025-07-16T19:04:12.055414,edge_case
stressed,3,97.831,13.5,0.684,0.233,21.812,37.0,0.053,-0.333,9.726,0.836,95.7,2025-07-16T19:04:12.055574,edge_case
focused,1,71.315,55.748,0.347,0.057,16.342,36.41,0.003,-0.009,9.819,0.772,97.3,2025-07-16T19:04:12.055726,edge_case
fatigued,5,59.80399459607773,26.384563891284397,0.2578502678981784,0.234,8.0,36.49,0.272,0.309,9.709,0.71,98.0,2025-07-16T19:04:12.055876,edge_case
anxious,4,180.0,90.0,0.651,0.414,21.284,36.67,0.082,-0.266,9.926,0.568,94.9,2025-07-16T19:04:12.056032,edge_case
fatigued,5,126.94916829149557,72.51317123223228,0.237,0.28,13.97,36.56,0.028,0.275,9.927,0.287,96.2,2025-07-16T19:04:12.056211,edge_case
fatigued,5,66.825,32.894,0.28,0.21,12.485,36.74,-0.028,-0.052,9.713,0.454,96.8,2025-07-16T19:04:12.056370,edge_case
stressed,3,93.663,13.149,0.575,0.229,27.526,36.67,0.332,0.026,9.623,0.759,95.1,2025-07-16T19:04:12.056519,edge_case
calm,0,82.00828709510523,51.734063071439664,0.24659117648330678,0.142,11.916,36.76,0.189,0.028,9.732,0.728,96.6,2025-07-16T19:04:12.056669,edge_case
stressed,3,45.0,8.0,0.783,0.343,19.704,37.17,0.388,-0.802,9.873,0.103,95.7,2025-07-16T19:04:12.056825,edge_case
fatigued,5,115.0965908801355,69.28684758945067,0.15,0.167,10.632,36.41,-0.342,0.05,9.91,0.338,97.3,2025-07-16T19:04:12.057011,edge_case
anxious,4,85.0,21.141,0.6,0.187,21.564,36.71,-0.206,0.091,9.813,0.553,96.1,2025-07-16T19:04:12.057171,edge_case
calm,0,70.218,36.355,0.204,0.098,14.272,36.47,-0.107,0.082,9.832,0.779,96.4,2025-07-16T19:04:12.057322,edge_case
fatigued,5,71.33592604384009,22.305472911555576,0.1816004696857663,0.2,12.249,36.74,-0.272,-0.137,9.917,0.849,97.3,2025-07-16T19:04:12.057471,edge_case
excited,2,45.0,90.0,0.586,0.464,17.412,36.98,-0.844,0.504,9.768,0.457,96.3,2025-07-16T19:04:12.057628,edge_case
calm,0,124.9062858330887,69.75439567189468,0.228,0.107,10.78,36.53,0.008,0.01,10.006,0.725,97.6,2025-07-16T19:04:12.057809,edge_case
focused,1,71.599,40.782,0.379,0.071,15.822,36.52,0.025,0.018,9.81,0.379,96.1,2025-07-16T19:04:12.057971,edge_case
calm,0,74.973,64.306,0.37,0.185,13.119,36.54,0.079,-0.221,9.922,0.855,96.8,2025-07-16T19:04:12.058121,edge_case
stressed,3,101.45858164343521,28.064116666438306,0.6464749075780238,0.198,16.712,36.88,0.159,-0.35,9.92,0.179,94.3,2025-07-16T19:04:12.058271,edge_case
excited,2,180.0,8.0,0.569,0.256,24.0,36.97,-0.082,-0.1,9.563,0.92,95.0,2025-07-16T19:04:12.058427,edge_case
excited,2,122.84902600712995,69.92308897291947,0.514,0.431,15.974,36.95,0.256,-0.576,9.562,0.56,95.7,2025-07-16T19:04:12.058605,edge_case
focused,1,77.34,43.29,0.379,0.069,12.0,36.57,0.105,-0.024,9.887,0.534,95.7,2025-07-16T19:04:12.058765,edge_case
excited,2,88.565,40.1,0.4,0.7,18.461,37.05,0.043,-0.381,9.132,0.163,96.1,2025-07-16T19:04:12.058915,edge_case
fatigued,5,73.77358878859889,29.96171692249377,0.20619523905025297,0.199,12.057,36.58,0.036,0.158,9.813,0.453,96.5,2025-07-16T19:04:12.059064,edge_case
excited,2,45.0,8.0,0.482,0.503,17.47,36.94,1.268,-0.123,9.717,0.26,96.5,2025-07-16T19:04:12.059221,edge_case
calm,0,123.18119402840253,63.327012305859526,0.31,0.125,16.306,36.47,0.068,0.057,9.849,0.131,95.7,2025-07-16T19:04:12.059577,edge_case
fatigued,5,68.385,26.052,0.15,0.21,13.874,36.6,0.08,0.55,9.724,0.484,97.4,2025-07-16T19:04:12.059766,edge_case
fatigued,5,62.625,19.379,0.248,0.106,8.0,36.67,0.077,-0.117,9.818,0.188,96.9,2025-07-16T19:04:12.059926,edge_case
anxious,4,137.44370461644448,18.288771380490275,0.9028743837866252,0.445,28.944,37.21,0.065,-0.41,9.857,0.634,93.7,2025-07-16T19:04:12.060088,edge_case
anxious,4,180.0,90.0,0.771,0.509,22.048,36.81,0.247,0.677,9.992,0.134,95.5,2025-07-16T19:04:12.060249,edge_case
fatigued,5,128.25859491464502,74.9706990149019,0.233,0.218,11.255,36.61,0.12,-0.354,10.001,0.462,97.2,2025-07-16T19:04:12.060434,edge_case
excited,2,96.612,30.758,0.629,0.341,18.908,36.68,-1.212,-0.068,9.947,0.825,94.8,2025-07-16T19:04:12.060594,edge_case
excited,2,104.401,23.579,0.44,0.502,23.263,37.23,0.023,-0.128,10.062,0.37,95.5,2025-07-16T19:04:12.060745,edge_case
stressed,3,82.35013279693692,19.054607324875498,0.5884537292297016,0.23,19.873,36.45,0.156,-0.184,9.897,0.461,96.6,2025-07-16T19:04:12.060895,edge_case
focused,1,45.0,8.0,0.418,0.032,14.717,36.56,-0.007,-0.009,9.779,0.271,96.7,2025-07-16T19:04:12.061054,edge_case
excited,2,122.15493893755499,72.76634791917333,0.758,0.457,22.247,36.94,-0.654,-0.121,9.725,0.802,95.1,2025-07-16T19:04:12.061266,edge_case
stressed,3,80.851,25.271,0.572,0.299,21.812,36.71,0.22,-0.339,9.762,0.569,95.2,2025-07-16T19:04:12.061478,edge_case
calm,0,63.072,49.251,0.202,0.098,15.6,36.45,0.068,-0.136,9.815,0.603,96.8,2025-07-16T19:04:12.061632,edge_case
calm,0,69.31170100620369,33.1388253080851,0.19334258222269138,0.059,11.399,36.51,0.053,-0.094,9.753,0.124,97.3,2025-07-16T19:04:12.061785,edge_case
anxious,4,45.0,90.0,0.871,0.289,22.517,36.93,0.273,0.058,9.682,0.466,95.2,2025-07-16T19:04:12.061941,edge_case
anxious,4,128.616368503892,79.7573785984891,0.769,0.231,19.832,37.01,0.357,0.017,9.89,0.305,93.4,2025-07-16T19:04:12.062122,edge_case
excited,2,77.26,22.611,0.645,0.324,21.763,36.9,-0.216,-0.906,10.155,0.292,96.2,2025-07-16T19:04:12.062280,edge_case
calm,0,73.254,54.015,0.232,0.171,15.102,36.62,-0.143,-0.04,9.874,0.618,97.2,2025-07-16T19:04:12.062431,edge_case
fatigued,5,74.92221540760195,28.709639630715344,0.18307898290329916,0.082,13.204,36.39,0.076,-0.009,9.78,0.84,97.9,2025-07-16T19:04:12.062581,edge_case
focused,1,180.0,90.0,0.444,0.064,12.935,36.64,0.013,0.009,9.773,0.202,96.6,2025-07-16T19:04:12.062737,edge_case
excited,2,110.06471496226897,72.69612153559791,0.499,0.33,14.0,37.1,0.166,0.181,9.608,0.885,95.3,2025-07-16T19:04:12.062915,edge_case
focused,1,68.141,35.0,0.47,0.072,18.0,36.46,-0.07,-0.013,9.753,0.103,96.9,2025-07-16T19:04:12.063074,edge_case
stressed,3,92.425,21.398,0.774,0.254,25.79,36.78,0.412,-0.372,9.71,0.968,94.7,2025-07-16T19:04:12.063224,edge_case
focused,1,78.50171726710688,38.54180218414712,0.460296923841722,0.074,16.047,36.35,-0.078,-0.109,9.878,0.424,96.6,2025-07-16T19:04:12.063375,edge_case
fatigued,5,180.0,90.0,0.255,0.113,11.476,36.52,0.12,-0.033,9.858,0.235,97.2,2025-07-16T19:04:12.063530,edge_case
anxious,4,111.96868345800762,70.23782830709268,0.95,0.375,22.288,37.05,-0.011,0.264,10.039,0.357,94.6,2025-07-16T19:04:12.063709,edge_case
focused,1,70.934,51.38,0.471,0.055,14.654,36.55,0.097,0.142,9.804,0.836,97.0,2025-07-16T19:04:12.063867,edge_case
anxious,4,96.432,21.58,0.624,0.393,23.737,37.13,-0.009,0.004,9.579,0.479,95.6,2025-07-16T19:04:12.064019,edge_case
anxious,4,108.14272002226079,14.685924495212316,0.604941948679922,0.238,29.42,36.9,-0.469,-0.004,10.102,0.597,95.5,2025-07-16T19:04:12.064171,edge_case
stressed,3,180.0,90.0,0.572,0.285,23.182,36.83,-0.042,-0.148,9.724,0.829,95.5,2025-07-16T19:04:12.064330,edge_case
anxious,4,116.89267619692683,62.20805926612416,0.816,0.376,23.5,37.2,0.119,-0.213,9.965,0.783,94.5,2025-07-16T19:04:12.064508,edge_case
excited,2,75.0,41.384,0.794,0.239,16.726,36.72,0.131,-0.174,9.956,0.712,96.3,2025-07-16T19:04:12.064666,edge_case
focused,1,80.234,40.886,0.372,0.047,13.981,36.62,0.022,-0.062,9.793,0.965,96.4,2025-07-16T19:04:12.064818,edge_case
calm,0,59.87995967111085,46.362566047887185,0.5380992766824932,0.142,15.29,36.46,0.321,0.077,9.849,0.48,97.5,2025-07-16T19:04:12.064969,edge_case
stressed,3,45.0,8.0,0.668,0.1,23.981,36.61,0.185,0.045,9.754,0.358,95.9,2025-07-16T19:04:12.065125,edge_case
anxious,4,116.99369749748364,69.99020740932096,0.725,0.512,19.811,37.22,-0.659,0.387,9.874,0.331,94.5,2025-07-16T19:04:12.065304,edge_case
anxious,4,99.206,13.332,0.754,0.329,18.182,37.1,-0.41,-0.462,9.816,0.486,95.2,2025-07-16T19:04:12.065462,edge_case
calm,0,55.0,52.763,0.355,0.128,13.107,36.36,-0.03,-0.147,9.867,0.514,97.4,2025-07-16T19:04:12.065612,edge_case
excited,2,83.06413447862663,25.414400610328894,0.5510771153587016,0.337,20.139,36.88,-0.152,-0.088,9.772,0.18,95.4,2025-07-16T19:04:12.065762,edge_case
anxious,4,180.0,90.0,0.801,0.507,28.546,37.04,0.144,-0.109,10.096,0.361,95.4,2025-07-16T19:04:12.065916,edge_case
calm,0,119.02048645695625,65.32900714409065,0.273,0.054,14.49,36.76,-0.007,-0.009,9.797,0.958,96.5,2025-07-16T19:04:12.066095,edge_case
calm,0,55.0,30.0,0.327,0.081,13.942,36.29,0.062,-0.04,9.823,0.526,97.5,2025-07-16T19:04:12.066258,edge_case
anxious,4,89.851,19.407,0.82,0.269,21.498,36.96,0.555,0.292,9.781,0.911,94.9,2025-07-16T19:04:12.066408,edge_case
focused,1,62.71997458201665,54.475250889494646,0.4385001913771331,0.049,15.667,36.61,-0.04,0.009,9.805,0.924,97.2,2025-07-16T19:04:12.066558,edge_case
stressed,3,45.0,90.0,0.779,0.356,22.281,37.0,0.113,0.39,10.114,0.616,94.1,2025-07-16T19:04:12.066714,edge_case
excited,2,111.14327294128721,61.20124762632357,0.513,0.206,18.439,36.78,-0.035,0.132,9.705,0.418,96.2,2025-07-16T19:04:12.066896,edge_case
anxious,4,91.948,15.229,0.95,0.227,22.345,36.79,0.283,-0.327,9.714,0.135,95.8,2025-07-16T19:04:12.067053,edge_case
calm,0,71.44,63.407,0.234,0.173,15.982,36.62,-0.127,-0.203,9.778,0.51,96.7,2025-07-16T19:04:12.067204,edge_case
stressed,3,97.4476002206474,13.258177093260084,0.5635370144470832,0.327,16.0,36.92,0.317,-0.358,9.832,0.987,94.9,2025-07-16T19:04:12.067357,edge_case
stressed,3,45.0,90.0,0.825,0.137,23.659,36.98,0.087,0.005,9.713,0.584,95.0,2025-07-16T19:04:12.067513,edge_case
calm,0,113.66258441370054,68.79714009523711,0.187,0.134,13.927,36.77,0.043,0.237,9.803,0.537,96.5,2025-07-16T19:04:12.067693,edge_case
stressed,3,94.862,29.209,0.5,0.298,16.0,36.83,0.196,-0.262,9.597,0.907,95.4,2025-07-16T19:04:12.067849,edge_case
calm,0,71.407,65.0,0.194,0.0,13.922,36.56,0.0,0.0,9.8,0.274,96.8,2025-07-16T19:04:12.067999,edge_case
anxious,4,106.44445490327814,20.26315977899241,0.7369834054355123,0.357,19.557,37.09,0.005,-0.173,9.737,0.838,95.0,2025-07-16T19:04:12.068148,edge_case
anxious,4,180.0,90.0,0.942,0.481,18.0,37.25,0.133,0.204,9.573,0.305,94.9,2025-07-16T19:04:12.068303,edge_case
calm,0,110.59078481289743,77.015757588616,0.199,0.127,13.893,36.73,0.176,0.052,9.796,0.808,97.5,2025-07-16T19:04:12.068482,edge_case
stressed,3,80.0,16.182,0.606,0.374,19.765,36.77,-0.069,-0.011,9.856,0.467,95.9,2025-07-16T19:04:12.068638,edge_case
fatigued,5,67.153,29.927,0.242,0.22,12.079,36.61,-0.22,-0.314,9.609,0.244,96.8,2025-07-16T19:04:12.068787,edge_case
anxious,4,100.403812538926,22.10208436333168,0.7928373132174502,0.576,21.474,37.1,-0.64,-0.581,10.127,0.653,95.4,2025-07-16T19:04:12.068936,edge_case
calm,0,180.0,90.0,0.15,0.127,15.698,36.73,-0.077,0.075,9.815,0.943,97.0,2025-07-16T19:04:12.069092,edge_case
anxious,4,123.28227334510512,64.57306676221828,0.898,0.416,29.19,36.96,-0.029,0.839,9.777,0.514,95.2,2025-07-16T19:04:12.069270,edge_case
anxious,4,90.245,17.402,0.786,0.528,24.218,36.87,0.068,-0.29,9.876,0.849,95.3,2025-07-16T19:04:12.069428,edge_case
focused,1,78.633,35.0,0.451,0.066,15.93,36.79,0.127,0.018,9.789,0.65,97.0,2025-07-16T19:04:12.069579,edge_case
focused,1,62.418570344774615,53.83758542318023,0.46605441071481796,0.066,16.591,36.57,-0.06,-0.105,9.832,0.216,96.0,2025-07-16T19:04:12.069730,edge_case
calm,0,180.0,90.0,0.272,0.068,15.328,36.69,0.031,-0.052,9.814,0.99,97.4,2025-07-16T19:04:12.069886,edge_case
fatigued,5,116.4813429636293,65.4441298868903,0.315,0.144,12.531,36.37,0.218,-0.226,9.804,0.84,97.1,2025-07-16T19:04:12.070066,edge_case
focused,1,73.3,41.072,0.429,0.066,15.884,36.34,0.001,0.005,9.807,0.121,96.7,2025-07-16T19:04:12.070224,edge_case
fatigued,5,61.476,17.578,0.176,0.135,12.841,36.38,-0.146,0.178,9.73,0.696,98.1,2025-07-16T19:04:12.070380,edge_case
focused,1,88.59246764186548,39.47964447724457,0.3500464567154059,0.046,14.53,36.65,-0.036,0.001,9.766,0.67,96.3,2025-07-16T19:04:12.070584,edge_case
anxious,4,45.0,8.0,0.804,0.352,28.057,36.92,0.168,-0.162,9.713,0.712,95.0,2025-07-16T19:04:12.070741,edge_case
excited,2,128.0984136800864,75.05461748693908,0.8,0.566,22.591,37.0,-0.36,-0.171,10.256,0.313,95.8,2025-07-16T19:04:12.070921,edge_case
fatigued,5,64.991,26.973,0.23,0.161,11.744,36.79,-0.271,-0.078,9.879,0.538,96.8,2025-07-16T19:04:12.071079,edge_case
focused,1,65.998,50.86,0.418,0.042,15.015,36.41,0.021,-0.008,9.837,0.61,97.3,2025-07-16T19:04:12.071228,edge_case
anxious,4,97.90768340684356,24.10007739369246,0.53362776737288,0.24,23.454,36.86,0.445,-0.078,9.781,0.241,95.7,2025-07-16T19:04:12.071377,edge_case
stressed,3,45.0,90.0,0.731,0.308,21.385,36.97,0.052,0.305,9.846,0.327,95.8,2025-07-16T19:04:12.071532,edge_case
excited,2,126.52075418984472,62.65745104505752,0.744,0.248,17.382,36.88,0.176,0.113,10.137,0.396,94.6,2025-07-16T19:04:12.071710,edge_case
fatigued,5,67.012,25.993,0.261,0.16,11.715,36.57,-0.102,-0.079,9.795,0.705,98.1,2025-07-16T19:04:12.071867,edge_case
anxious,4,85.0,19.435,0.696,0.192,24.807,36.71,-0.145,0.061,9.732,0.8,96.4,2025-07-16T19:04:12.072016,edge_case
anxious,4,100.7703827208532,18.934963707850315,0.6268741072831314,0.521,26.174,37.29,-0.218,0.146,10.019,0.328,94.7,2025-07-16T19:04:12.072165,edge_case
focused,1,45.0,8.0,0.359,0.091,15.368,36.58,-0.125,0.101,9.881,0.225,97.2,2025-07-16T19:04:12.072321,edge_case
calm,0,122.34840220642351,67.04203165989384,0.33,0.006,14.687,36.45,0.003,-0.002,9.8,0.795,96.6,2025-07-16T19:04:12.072501,edge_case
anxious,4,108.738,19.99,0.849,0.238,25.692,36.94,0.201,-0.208,9.816,0.684,95.1,2025-07-16T19:04:12.072658,edge_case
calm,0,69.966,57.718,0.412,0.165,18.0,36.78,0.189,-0.178,9.796,0.831,96.7,2025-07-16T19:04:12.072808,edge_case
excited,2,87.53398229902102,34.493198524592046,0.6275963260526454,0.382,20.976,36.69,-0.352,0.156,9.837,0.866,95.8,2025-07-16T19:04:12.072957,edge_case
fatigued,5,45.0,8.0,0.227,0.083,12.69,36.58,0.001,0.078,9.867,0.162,97.6,2025-07-16T19:04:12.073113,edge_case
focused,1,118.53320307509955,65.73196458193281,0.436,0.061,14.325,36.66,0.047,0.023,9.798,0.553,97.5,2025-07-16T19:04:12.073293,edge_case
focused,1,69.528,39.274,0.347,0.003,12.0,36.65,0.002,0.002,9.799,0.917,97.1,2025-07-16T19:04:12.073457,edge_case
focused,1,74.194,44.087,0.4,0.079,16.964,36.59,-0.079,0.002,9.804,0.825,97.4,2025-07-16T19:04:12.073607,edge_case
fatigued,5,62.44372235726991,18.474956897771648,0.2064151992990328,0.108,11.355,36.45,-0.099,-0.288,9.892,0.579,98.2,2025-07-16T19:04:12.073757,edge_case
anxious,4,180.0,90.0,0.95,0.328,21.216,36.82,-0.195,0.329,9.771,0.776,96.1,2025-07-16T19:04:12.073912,edge_case
stressed,3,128.64847898046202,70.64472640220487,0.52,0.294,16.0,36.82,-0.303,-0.264,9.632,0.184,95.2,2025-07-16T19:04:12.074091,edge_case
calm,0,76.1,52.561,0.283,0.064,15.049,36.33,0.03,0.005,9.824,0.15,97.3,2025-07-16T19:04:12.074249,edge_case
anxious,4,109.06,15.115,0.713,0.435,32.0,37.06,-0.603,0.277,9.928,0.417,94.7,2025-07-16T19:04:12.074399,edge_case
calm,0,80.86275564573818,30.2158738748022,0.25208992110415684,0.078,14.468,36.76,-0.039,-0.041,9.83,0.108,95.7,2025-07-16T19:04:12.074549,edge_case
excited,2,45.0,90.0,0.543,0.392,19.404,36.9,-0.294,0.014,9.606,0.573,96.0,2025-07-16T19:04:12.074703,edge_case
excited,2,111.89082248057507,79.41317261762049,0.554,0.298,20.61,36.66,0.05,-0.367,9.775,0.698,96.2,2025-07-16T19:04:12.074881,edge_case
calm,0,76.698,59.2,0.411,0.078,13.642,36.56,-0.032,0.041,9.752,0.542,95.8,2025-07-16T19:04:12.075117,edge_case
focused,1,70.913,61.509,0.498,0.056,12.474,36.68,-0.047,0.004,9.849,0.346,96.5,2025-07-16T19:04:12.075296,edge_case
excited,2,69.22343200689195,31.051716290087015,0.46688292823658284,0.154,22.404,36.56,-0.005,0.34,9.851,0.623,98.1,2025-07-16T19:04:12.075447,edge_case
stressed,3,45.0,8.0,0.78,0.256,23.31,37.0,0.103,0.087,9.806,0.464,94.9,2025-07-16T19:04:12.075604,edge_case
fatigued,5,112.13150524405584,63.51324961683732,0.273,0.057,10.619,36.43,-0.021,0.035,9.773,0.233,97.8,2025-07-16T19:04:12.075783,edge_case
fatigued,5,64.078,27.619,0.253,0.163,8.411,36.49,-0.202,0.178,9.763,0.522,97.5,2025-07-16T19:04:12.075942,edge_case
stressed,3,120.0,20.912,0.591,0.184,23.117,37.17,0.19,-0.115,9.736,0.956,94.5,2025-07-16T19:04:12.076092,edge_case
calm,0,58.939212172187474,48.09253035348782,0.41559124650693735,0.081,11.957,36.35,-0.183,-0.004,9.813,0.862,96.6,2025-07-16T19:04:12.076243,edge_case
focused,1,180.0,90.0,0.387,0.117,14.603,36.5,0.064,0.052,9.823,0.269,95.5,2025-07-16T19:04:12.076401,edge_case
calm,0,124.06759456621783,67.03779371589447,0.282,0.068,12.358,36.59,-0.009,-0.052,9.798,0.292,97.3,2025-07-16T19:04:12.076587,edge_case
focused,1,68.22,43.437,0.436,0.028,14.382,36.4,-0.045,0.005,9.8,0.865,97.0,2025-07-16T19:04:12.076746,edge_case
stressed,3,84.679,18.899,0.744,0.242,22.865,36.78,-0.239,0.088,9.695,0.469,95.1,2025-07-16T19:04:12.076896,edge_case
anxious,4,131.8021119195212,24.11816833929057,0.7932325913293503,0.498,24.43,37.25,1.087,0.085,9.984,0.573,93.8,2025-07-16T19:04:12.077044,edge_case
stressed,3,180.0,8.0,0.888,0.367,26.211,36.81,0.042,-0.092,9.727,0.869,95.0,2025-07-16T19:04:12.077199,edge_case
stressed,3,118.32540057661541,70.19228432113604,0.592,0.207,20.24,36.74,0.235,-0.03,9.899,0.685,94.8,2025-07-16T19:04:12.077377,edge_case
anxious,4,106.655,14.743,0.852,0.424,22.452,36.95,-0.561,0.031,10.162,0.411,94.7,2025-07-16T19:04:12.077535,edge_case
stressed,3,80.0,17.906,0.653,0.344,18.708,36.86,-0.182,-0.148,9.428,0.419,95.1,2025-07-16T19:04:12.077685,edge_case
calm,0,74.89790445830626,64.62410588445907,0.3744510242388372,0.177,15.324,36.57,-0.093,-0.073,9.805,0.223,97.1,2025-07-16T19:04:12.077836,edge_case
stressed,3,45.0,90.0,0.64,0.147,19.163,36.9,0.342,-0.015,9.75,0.3,95.9,2025-07-16T19:04:12.077991,edge_case
excited,2,115.8881518227399,66.6459853898134,0.702,0.137,19.585,37.07,-0.156,-0.217,9.774,0.378,94.9,2025-07-16T19:04:12.078171,edge_case
focused,1,65.0,44.145,0.358,0.077,13.653,36.46,-0.086,-0.058,9.754,0.922,97.6,2025-07-16T19:04:12.078329,edge_case
focused,1,74.085,52.303,0.45,0.065,12.263,36.66,-0.091,0.004,9.776,0.906,96.3,2025-07-16T19:04:12.078480,edge_case
fatigued,5,68.15139963447572,21.722956874082527,0.1586168694556656,0.065,10.781,36.34,-0.014,-0.075,9.788,0.176,97.6,2025-07-16T19:04:12.078629,edge_case
anxious,4,45.0,90.0,0.732,0.322,32.0,36.98,0.22,-0.584,9.567,0.855,96.2,2025-07-16T19:04:12.078785,edge_case
stressed,3,110.67163681711412,78.82822425154593,0.533,0.217,21.234,36.9,0.023,-0.041,9.814,0.725,94.4,2025-07-16T19:04:12.078964,edge_case
excited,2,75.0,28.916,0.586,0.22,14.0,36.74,0.242,-0.104,9.715,0.978,95.8,2025-07-16T19:04:12.079121,edge_case
calm,0,55.0,38.591,0.403,0.175,10.0,36.47,0.068,-0.306,9.746,0.353,96.5,2025-07-16T19:04:12.079271,edge_case
